,0,1,2,3,observed result,p-value for right tail,p-value for left tail,double lower p-value,Benjamini,Final Numbers
practice_1_031_0,933,66,1,0,3,0.000999000999000999,1.0,0.001998001998001998,0.0,
practice_1_031_1,943,55,2,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_1_031_2,946,54,0,0,0,1.0,0.9460539460539461,1.8921078921078922,0.0,
practice_1_031_3,933,67,0,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_4,925,74,1,0,0,1.0,0.9250749250749251,1.8501498501498501,0.0,
practice_1_031_5,933,67,0,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_6,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_7,931,67,2,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_1_031_8,943,55,2,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_1_031_9,945,55,0,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_1_031_10,948,52,0,0,0,1.0,0.948051948051948,1.896103896103896,0.0,
practice_1_031_11,928,72,0,0,0,1.0,0.9280719280719281,1.8561438561438561,0.0,
practice_1_031_12,918,81,1,0,1,0.08291708291708291,0.9180819180819181,0.16583416583416583,0.0,
practice_1_031_13,929,71,0,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_14,949,48,3,0,1,0.05194805194805195,0.949050949050949,0.1038961038961039,0.0,
practice_1_031_15,944,56,0,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_1_031_16,920,78,2,0,0,1.0,0.9200799200799201,1.8401598401598402,0.0,
practice_1_031_17,945,55,0,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_1_031_18,930,68,2,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_19,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_1_031_20,929,70,1,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_21,933,64,3,0,1,0.06793206793206794,0.9330669330669331,0.13586413586413587,0.0,
practice_1_031_22,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_1_031_23,933,66,1,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_24,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_1_031_25,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_1_031_26,930,69,1,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_27,939,59,2,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_1_031_28,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_1_031_29,951,48,1,0,0,1.0,0.951048951048951,1.902097902097902,0.0,
practice_1_031_30,930,67,3,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_31,923,75,2,0,1,0.07792207792207792,0.9230769230769231,0.15584415584415584,0.0,
practice_1_031_32,938,60,2,0,1,0.06293706293706294,0.938061938061938,0.1258741258741259,0.0,
practice_1_031_33,929,69,2,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_34,922,75,3,0,0,1.0,0.922077922077922,1.844155844155844,0.0,
practice_1_031_35,947,53,0,0,0,1.0,0.9470529470529471,1.8941058941058941,0.0,
practice_1_031_36,933,65,2,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_37,938,60,2,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_1_031_38,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_39,934,66,0,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_1_031_40,936,63,1,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_1_031_41,938,61,1,0,3,0.000999000999000999,1.0,0.001998001998001998,0.0,
practice_2_054_0,934,66,0,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_1,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_2,943,56,1,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_2_054_3,939,58,3,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_2_054_4,929,71,0,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_2_054_5,944,55,1,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_6,931,62,7,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_7,931,68,1,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_8,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_9,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_10,934,65,1,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_11,941,58,1,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_2_054_12,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
