session_key,age,sex,education,major,native_language,other_language,dyslexia,hearing_diff,whisper,comments,addedQ,experiment_name
e8aae,,,Lower secondary school,890987,csdczs,иви,No,Yes,,daqwdq,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['SD\\cfsd']}, {'Listening': ['w']}, {'Writing': ['d']}, {'Reading': ['s']}]",LDAEXP315
31813,,,Primary school,sasha,sasha,sasha,No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['sasha']}, {'Speaking': ['sasha']}, {'Listening': ['sasha']}, {'Writing': ['sasha']}, {'Reading': ['sasha']}]",LDAEXP315
2fb9a,,,-----,,Finnish,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['4']}]",LDAEXP315
7982d,,,University degree: BA or equivalent,Phonetics,Finnish,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['4']}]",LDAEXP315
7982d,,,-----,,g,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['g']}, {'Speaking': ['g']}, {'Listening': ['g']}, {'Writing': ['g']}, {'Reading': ['g']}]",LDAEXP315
4f859,,,University degree: BA or equivalent,Natural Language processing,German,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
32081,,,University degree: BA or equivalent,NLP,German,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
1c105,,,Primary school,q,q,q,No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['q']}, {'Speaking': ['q']}, {'Listening': ['q']}, {'Writing': ['q']}, {'Reading': ['q']}]",LDAEXP315
4feec,,,Primary school,Q,Q,Q,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['Q']}, {'Speaking': ['Q']}, {'Listening': ['Q']}, {'Writing': ['Q']}, {'Reading': ['Q']}]",LDAEXP315
1c105,,,Primary school,d,d,d,No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['d']}, {'Speaking': ['d']}, {'Listening': ['d']}, {'Writing': ['d']}, {'Reading': ['d']}]",LDAEXP315
1fa36,,,Lower secondary school,q,q,q,No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['q']}, {'Speaking': ['q']}, {'Listening': ['q']}, {'Writing': ['q']}, {'Reading': ['q']}]",LDAEXP315
660d4,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Роо,Ааа,Ааа,Yes,No,,Мрош,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['3']}, {'Writing': ['1']}, {'Reading': ['2']}]",LDAEXP315
6c1e7,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",test,test,test,No,No,,test,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['test']}, {'Speaking': ['test']}, {'Listening': ['test']}, {'Writing': ['test']}, {'Reading': ['test']}]",LDAEXP315
cf0ad,,,University degree: BA or equivalent,test,test,test,Yes,No,,test,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['test']}, {'Speaking': ['test']}, {'Listening': ['test']}, {'Writing': ['test']}, {'Reading': ['test']}]",LDAEXP315
3a9ec,,,University of applied sciences,Тест,Тест,Тест,No,No,,Тест,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['Тест']}, {'Speaking': ['Тест']}, {'Listening': ['Тест']}, {'Writing': ['Тест']}, {'Reading': ['Тест']}]",LDAEXP315
d4917,,,Primary school,as,sa,ad,Yes,No,,da,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['2']}, {'Speaking': ['3']}, {'Listening': ['2']}, {'Writing': ['1']}, {'Reading': ['1']}]",LDAEXP315
e9258,,,Primary school,racism,swahili,arabic,Yes,Yes,,yo,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['1']}, {'Speaking': ['2']}, {'Listening': ['3']}, {'Writing': ['4']}, {'Reading': ['6']}]",LDAEXP315
0960a,,,University degree: BA or equivalent,Computer Science,german,english,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['3']}, {'Listening': ['4']}, {'Writing': ['3']}, {'Reading': ['4']}]",LDAEXP315
9000b,,,University degree: Ph.D. or equivalent,,German,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['4']}, {'Reading': ['4']}]",LDAEXP315
5787a,,,University degree: MA or equivalent,social sciences,finnish,"english, spanish, swedish",No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['5']}]",LDAEXP315
33aa2,,,University degree: MA or equivalent,Indigenous Studies,Russian,"English, Slovenian, Serbian, French",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
166d0,,,University degree: BA or equivalent,art research,finnish,"swedish, english, french",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['4']}, {'Reading': ['4']}]",LDAEXP315
a1577,,,University degree: MA or equivalent,Education,English,"Swahili, Kisii",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
06233,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Art studies,Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['5']}]",LDAEXP315
9b6b0,,,University degree: MA or equivalent,Cognitive science,Finnish,English,No,No,,"I do have tinnitus, but I don't know whether it is classified as a hearing difficulty. My hearing is otherwise normal. ","[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['C1']}, {'Speaking': ['B2']}, {'Listening': ['C1']}, {'Writing': ['C1']}, {'Reading': ['C1']}]",LDAEXP315
2130a,,,University degree: BA or equivalent,Literature and Langauges,Lithuanian,"English, Italian, Finnish, Dutch",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
8c27c,,,University degree: Ph.D. or equivalent,Social psychology,German,"English, Finnish, Portuguese, French",No,No,,--,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['5']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
09043,,,University degree: MA or equivalent,Social statistics,Swedish,"Finnish, English",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['3']}, {'Listening': ['4']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
