session_key,checkbox,index,question,experiment_name,date
dc886,"[['0'], ['10']]",1,,LDAEXP315,nothing
dc886,"[['0'], ['8'], ['15']]",2,,LDAEXP315,nothing
dc886,"[['0'], ['1'], ['2'], ['6'], ['7']]",2,,LDAEXP315,nothing
cd653,[['2']],1,,LDAEXP315,nothing
cd653,"[['0'], ['13']]",2,,LDAEXP315,nothing
cd653,[],2,,LDAEXP315,nothing
df134,"[['3'], ['7'], ['10']]",1,,LDAEXP315,nothing
df134,"[['1'], ['5'], ['12'], ['15']]",2,,LDAEXP315,nothing
df134,"[['1'], ['5'], ['7']]",2,,LDAEXP315,nothing
05240,[['19']],1,,LDAEXP315,nothing
05240,"[['6'], ['13'], ['21'], ['24'], ['26']]",2,,LDAEXP315,nothing
05240,[],3,,LDAEXP315,nothing
05240,[['4']],4,,LDAEXP315,nothing
05240,[],5,,LDAEXP315,nothing
05240,[],1,,LDAEXP315,nothing
05240,"[['6'], ['13'], ['21'], ['24'], ['33']]",2,,LDAEXP315,nothing
05240,"[['6'], ['14'], ['24'], ['25']]",3,,LDAEXP315,nothing
05240,"[['4'], ['12'], ['15'], ['20']]",4,,LDAEXP315,nothing
05240,"[['19'], ['35']]",5,,LDAEXP315,nothing
05240,[['3']],6,,LDAEXP315,nothing
05240,[],7,,LDAEXP315,nothing
05240,"[['8'], ['11']]",8,,LDAEXP315,nothing
05240,"[['4'], ['8'], ['15'], ['18'], ['25'], ['32']]",9,,LDAEXP315,nothing
05240,"[['3'], ['5'], ['7'], ['28']]",10,,LDAEXP315,nothing
05240,"[['9'], ['15'], ['27']]",11,,LDAEXP315,nothing
05240,"[['20'], ['28'], ['40']]",12,,LDAEXP315,nothing
05240,"[['5'], ['14'], ['20'], ['22'], ['24']]",13,,LDAEXP315,nothing
05240,[],14,,LDAEXP315,nothing
05240,[],15,,LDAEXP315,nothing
05240,[],16,,LDAEXP315,nothing
05240,[],17,,LDAEXP315,nothing
05240,"[['11'], ['14'], ['20']]",18,,LDAEXP315,nothing
9209d,[],1,,LDAEXP315,nothing
05240,[],19,,LDAEXP315,nothing
9209d,[],2,,LDAEXP315,nothing
05240,[],20,,LDAEXP315,nothing
05240,[],21,,LDAEXP315,nothing
9209d,[],3,,LDAEXP315,nothing
05240,[],22,,LDAEXP315,nothing
9209d,[],4,,LDAEXP315,nothing
05240,[],23,,LDAEXP315,nothing
05240,[],24,,LDAEXP315,nothing
9209d,[],5,,LDAEXP315,nothing
05240,[],25,,LDAEXP315,nothing
9209d,[],6,,LDAEXP315,nothing
05240,[],26,,LDAEXP315,nothing
05240,"[['14'], ['16'], ['19'], ['28']]",27,,LDAEXP315,nothing
05240,[],28,,LDAEXP315,nothing
05240,[],29,,LDAEXP315,nothing
05240,[],30,,LDAEXP315,nothing
05240,[],31,,LDAEXP315,nothing
05240,[],32,,LDAEXP315,nothing
05240,[],33,,LDAEXP315,nothing
05240,[],34,,LDAEXP315,nothing
05240,"[['8'], ['9'], ['22']]",35,,LDAEXP315,nothing
05240,[],36,,LDAEXP315,nothing
0b40f,"[['0'], ['20']]",1,,LDAEXP315,nothing
05240,"[['21'], ['23'], ['26'], ['28']]",37,,LDAEXP315,nothing
05240,[],38,,LDAEXP315,nothing
0b40f,"[['0'], ['38']]",2,,LDAEXP315,nothing
05240,[],39,,LDAEXP315,nothing
0b40f,[],3,,LDAEXP315,nothing
05240,[],39,,LDAEXP315,nothing
0b40f,"[['0'], ['34']]",4,,LDAEXP315,nothing
f91ac,"[['0'], ['30']]",1,,LDAEXP315,nothing
f91ac,"[['0'], ['14'], ['23'], ['38']]",2,,LDAEXP315,nothing
f91ac,"[['0'], ['14'], ['15'], ['21'], ['26']]",3,,LDAEXP315,nothing
f91ac,"[['0'], ['7'], ['15'], ['18']]",4,,LDAEXP315,nothing
f91ac,"[['0'], ['32']]",5,,LDAEXP315,nothing
788f8,"[['0'], ['30']]",1,,LDAEXP315,nothing
788f8,"[['0'], ['38']]",2,,LDAEXP315,nothing
788f8,"[['0'], ['18']]",3,,LDAEXP315,nothing
788f8,"[['0'], ['33']]",4,,LDAEXP315,nothing
788f8,"[['0'], ['30']]",5,,LDAEXP315,nothing
788f8,"[['0'], ['24']]",6,,LDAEXP315,nothing
788f8,[],7,,LDAEXP315,nothing
788f8,"[['0'], ['30']]",1,,LDAEXP315,nothing
788f8,[],2,,LDAEXP315,nothing
788f8,[],1,,LDAEXP315,nothing
788f8,"[['0'], ['13'], ['16'], ['22'], ['23'], ['33'], ['34'], ['38']]",2,,LDAEXP315,nothing
788f8,"[['0'], ['30']]",1,,LDAEXP315,nothing
788f8,"[['0'], ['38']]",2,,LDAEXP315,nothing
f3609,"[['9'], ['11'], ['13'], ['18']]",1,,LDAEXP315,nothing
